timestamp,symbol,asset_class,strategy_key,contract_symbol,direction,score,spot_price,entry_price,rsi,macd,volatility_20d,volume_rel_20d,sector_strength,market_trend,congress_score,news_sentiment,decision,label_good_trade,realized_return_5d
2025-12-03 13:48:47.775208+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 13:48:48.910398+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 13:48:50.089518+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 13:53:45.338179+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 13:53:46.368811+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 13:53:47.373622+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 13:53:48.415814+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 13:53:49.789006+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 13:58:45.320417+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 13:58:46.419500+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 13:58:47.553807+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 13:58:48.563530+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
2025-12-03 13:58:49.604169+00:00,BAC,option,hybrid_aggressive,BAC260109C00054000,buy,4.5,53.17,107.0,,,0.0122316906366069,,,,,,enter,0.0,-0.49803738317757
2025-12-03 14:03:45.234559+00:00,WBD,option,hybrid_aggressive,WBD260109C00030000,buy,5.5,24.53,16.0,,,0.0213167764106622,,,,,,enter,1.0,0.835
2025-12-03 14:03:46.434232+00:00,AAPL,option,hybrid_aggressive,AAPL260109C00200000,buy,5.0,286.09,7755.0,,,0.0098581835033557,,,,,,enter,0.0,-0.9642230818826564
2025-12-03 14:03:47.479340+00:00,CSCO,option,hybrid_aggressive,CSCO260109C00078000,buy,5.0,76.85,129.0,,,0.0183613618166572,,,,,,enter,0.0,-0.3857751937984496
2025-12-03 14:03:48.582351+00:00,GOOGL,option,hybrid_aggressive,GOOGL260109C00355000,buy,5.0,315.74,239.0,,,0.0245260205340653,,,,,,enter,1.0,0.3309205020920501
